from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022005000126017,9022005000126002,1,,55700000063052748,55700000063233889
9022005000050024,9022005000050020,1,,55700000063052748,55700000065074528
9022005000993004,9022005000993002,1,,55700000063053264,55700000064823529
9022005000993004,9022005000993002,1,,55700000063053608,55700000064823305
9022005004136006,9022005004136004,1,,55700000063053780,55700000063140200
9022005004136006,9022005004136003,1,,55700000063053780,55700000063144450
9022005000993004,9022005000993002,1,,55700000063053780,55700000064823361
9022005000126017,9022005000126005,1,,55700000063054124,55700000063111795
9022005004136006,9022005004136004,1,,55700000063054124,55700000063140228
9022005000126017,9022005000126001,1,,55700000063054124,55700000063238522
9022005000126017,9022005000126003,1,,55700000063054296,55700000063119629
9022005004137006,9022005004137001,1,,55700000063054296,55700000063121836
9022005004136006,9022005004136003,1,,55700000063054296,55700000063144321
9022005000993004,9022005000993002,1,,55700000063054296,55700000063175014
9022005000126017,9022005000126001,1,,55700000063054296,55700000063238608
9022005004136006,9022005004136002,1,,55700000063055500,55700000063152508
9022005000993004,9022005000993002,1,,55700000063055500,55700000064823827
9022005000126017,9022005000126005,1,,55700000063056704,55700000063112139
9022005004136006,9022005004136004,1,,55700000063056704,55700000063139904
9022005004136006,9022005004136003,1,,55700000063056704,55700000063144570
9022005004136006,9022005004136002,1,,55700000063056704,55700000063152283
9022005000126013,9022005000126005,1,,55700000063058283,55700000063113119
9022005000126013,9022005000126003,1,,55700000063058283,55700000063119505
9022005004136006,9022005004136004,1,,55700000063058283,55700000063140116
9022005000993004,9022005000993002,1,,55700000063058283,55700000063175086
9022005000126013,9022005000126002,1,,55700000063058283,55700000063233336
9022005000124003,9022005000124002,1,,55700000063058627,55700000063124567
9022005004136006,9022005004136004,1,,55700000063058627,55700000063140284
9022005004136006,9022005004136003,1,,55700000063058627,55700000063144262
9022005000993004,9022005000993002,1,,55700000063058627,55700000063175156
9022005000126013,9022005000126001,1,,55700000063058627,55700000063238565
9022005000993004,9022005000993002,1,,55700000063058627,55700000064823193
9022005000126017,9022005000126003,1,,55700000063059563,55700000063119443
9022005004137006,9022005004137001,1,,55700000063059563,55700000063121795
9022005004136006,9022005004136003,1,,55700000063059563,55700000063144203
9022005000993004,9022005000993002,1,,55700000063059563,55700000063175508
9022005000124003,9022005000124002,1,,55700000063060979,55700000063124741
9022005000124003,9022005000124001,1,,55700000063539484,55700000063110783
9022005004137006,9022005004137001,1,,55700000063539484,55700000063121836
