id,latitude,longitude,bearing,speed,timestamp,vehicle.id,trip_id,schedule_relationship,source,route_id,direction_id,route_short_name,route_type,start_time,start_date,rsn_dir,trajectory_id,is_stopped,cluster,berths
797482587,58.4177665710449,15.6223964691162,280,4.69999980926514,1647931555,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-56Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797482587,58.4177665710449,15.6223964691162,280,4.69999980926514,1647931555,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-57Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797482954,58.4177589416504,15.6223192214966,267,4.40000009536743,1647931556,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-58Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797483326,58.4177551269531,15.6222496032715,258,4.19999980926514,1647931557,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-59Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797483702,58.4177436828613,15.6221933364868,259,2.79999995231628,1647931558,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-46-00Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797484079,58.4177284240723,15.6221523284912,250,2.20000004768372,1647931559,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-46-01Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797484819,58.4177017211914,15.6221313476563,226,0.600000023841858,1647931561,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-46-02Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797485184,58.4177055358887,15.6221208572388,226,0.0,1647931562,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-46-03Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797485553,58.4177093505859,15.6221189498901,226,0.0,1647931563,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-46-04Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797485927,58.4177131652832,15.6221179962158,226,0.0,1647931564,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-46-05Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797485927,58.4177131652832,15.6221179962158,226,0.0,1647931564,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-46-06Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
797486299,58.4177169799805,15.6221189498901,226,0.0,1647931565,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-46-07Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,true,,
