trajectory_id,vehicle,trajectory_start_timestamp,trajectory_end_timestamp,stop_number,stop_start_timestamp,stop_end_timestamp,detected_berth,start_route,start_direction,start_assigned_berth,end_route,end_direction,end_assigned_berth,start_longitude,start_latitude,remarks
9031005918308837-0,9031005918308837,1647932242,1647932348,1,1647932276,1647932311,C3,-1,-1,-1,-1,-1,-1,15.6236152648926,58.4170341491699,{}
9031005918308845-0,9031005918308845,1647931327,1647931415,0,1647931338,1647931362,C5,620,0,C2,-1,-1,-1,15.6242189407349,58.4167175292969,{}
9031005918308845-0,9031005918308845,1647931327,1647931415,1,1647931399,1647931407,-1,-1,-1,-1,-1,-1,-1,15.6223926544189,58.417781829834,{}
9031005918308845-1,9031005918308845,1647932646,1647932649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1
9031005920505500-0,9031005920505500,1647932862,1647933137,0,1647932872,1647933004,C5,16,0,C5,16,0,C5,15.6242256164551,58.416675567627,{}
9031005920505500-0,9031005920505500,1647932862,1647933137,1,1647933042,1647933047,-1,16,0,C5,16,0,C5,15.6231489181519,58.4171600341797,{}
9031005920505500-0,9031005920505500,1647932862,1647933137,2,1647933085,1647933109,-1,16,0,C5,16,0,C5,15.6227350234985,58.4176559448242,{}
9031005920505500-0,9031005920505500,1647932862,1647933137,3,1647933114,1647933117,-1,16,0,C5,16,0,C5,15.6227378845215,58.4176750183106,{}
9031005920505501-0,9031005920505501,1647931314,1647931420,0,1647931343,1647931372,A4,5,0,A4,5,0,A4,15.6238965988159,58.417179107666,{}
9031005920505501-1,9031005920505501,1647934048,1647934221,0,1647934080,1647934087,-1,5,1,B3,5,1,B3,15.6237850189209,58.4170341491699,{}
9031005920505501-1,9031005920505501,1647934048,1647934221,1,1647934093,1647934115,B4,5,1,B3,5,1,B3,15.6237764358521,58.4170532226563,{}
9031005920505501-1,9031005920505501,1647934048,1647934221,2,1647934131,1647934147,B3,5,1,B3,5,1,B3,15.6234731674194,58.4172286987305,{}
9031005920505501-1,9031005920505501,1647934048,1647934221,3,1647934194,1647934214,-1,5,1,B3,5,1,B3,15.6224927902222,58.4177436828613,{}
9031005920505502-0,9031005920505502,1647930436,1647930587,0,1647930459,1647930496,B3,5,1,B3,5,1,B3,15.6234674453735,58.4172286987305,{}
9031005920505502-0,9031005920505502,1647930436,1647930587,1,1647930526,1647930583,-1,5,1,B3,5,1,B3,15.6222429275513,58.4177360534668,{'zone': True}
9031005920505502-1,9031005920505502,1647933089,1647933165,0,1647933112,1647933124,A4,5,0,A4,5,0,A4,15.6240196228027,58.4171714782715,{}
9031005920505503-0,9031005920505503,1647930199,1647930681,0,1647930232,1647930607,A3,1,0,A3,1,0,A3,15.623649597168,58.4173545837402,{}
9031005920505503-0,9031005920505503,1647930199,1647930681,1,1647930632,1647930672,-1,1,0,A3,1,0,A3,15.6225318908691,58.4177894592285,{}
9031005920505503-1,9031005920505503,1647933248,1647933595,0,1647933282,1647933557,B3,5,1,B3,5,1,B3,15.6235017776489,58.4172706604004,{}
9031005920505504-0,9031005920505504,1647930448,1647930675,0,1647930500,1647930603,A1,14,1,A1,14,1,A1,15.622932434082,58.4176902770996,{}
9031005920505504-0,9031005920505504,1647930448,1647930675,1,1647930625,1647930670,-1,14,1,A1,14,1,A1,15.6221551895142,58.4176979064941,{'zone': True}
9031005920505504-1,9031005920505504,1647933986,1647934298,0,1647933999,1647934249,C5,16,0,C5,16,0,C5,15.6242828369141,58.4167137145996,{}
9031005920505505-0,9031005920505505,1647931622,1647931888,0,1647931642,1647931668,-1,16,1,C4,16,1,C4,15.6241121292114,58.4167404174805,{}
9031005920505505-0,9031005920505505,1647931622,1647931888,1,1647931677,1647931815,C4,16,1,C4,16,1,C4,15.6239414215088,58.4168319702148,{}
9031005920505506-0,9031005920505506,1647929823,1647930178,0,1647929832,1647929835,-1,13,0,B4,13,0,B4,15.6246767044067,58.4165687561035,{'at_crossing': 'B6'}
9031005920505506-0,9031005920505506,1647929823,1647930178,1,1647929864,1647930138,B4,13,0,B4,13,0,B4,15.6238040924072,58.4171180725098,{}
9031005920505506-1,9031005920505506,1647932876,1647933053,0,1647932909,1647932957,B2,13,1,B2,13,1,B2,15.6231679916382,58.4174308776856,{}
9031005920505506-1,9031005920505506,1647932876,1647933053,1,1647932964,1647933014,B2,13,1,B2,13,1,B2,15.6232166290283,58.4174270629883,{}
9031005920505507-0,9031005920505507,1647929759,1647929792,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1
9031005920505507-1,9031005920505507,1647930010,1647930064,0,1647930038,1647930047,-1,1,0,A3,1,0,A3,15.6228790283203,58.4177284240723,{'at_crossing': 'E'}
9031005920505507-2,9031005920505507,1647932056,1647932175,0,1647932095,1647932133,A2,1,1,A2,1,1,A2,15.623348236084,58.4174919128418,{}
9031005920505507-3,9031005920505507,1647934682,1647934729,0,1647934711,1647934729,A3,1,0,A3,1,0,A3,15.6236381530762,58.4173355102539,{}
9031005920505508-0,9031005920505508,1647931425,1647931667,0,1647931457,1647931602,B3,5,1,B3,5,1,B3,15.6234607696533,58.4172477722168,{}
9031005920505508-0,9031005920505508,1647931425,1647931667,1,1647931631,1647931636,C1,5,1,B3,5,1,B3,15.6229047775269,58.4174957275391,{}
9031005920505508-0,9031005920505508,1647931425,1647931667,2,1647931648,1647931652,B1,5,1,B3,5,1,B3,15.6228151321411,58.4175834655762,{}
9031005920505508-1,9031005920505508,1647934060,1647934275,0,1647934085,1647934189,A4,5,0,A4,5,0,A4,15.6238698959351,58.4171562194824,{}
9031005920505508-1,9031005920505508,1647934060,1647934275,1,1647934260,1647934268,-1,5,0,A4,5,0,A4,15.6221532821655,58.4177474975586,{'zone': True}
9031005920505509-0,9031005920505509,1647931806,1647932066,0,1647931834,1647932009,A4,5,0,A4,5,0,A4,15.6239404678345,58.4171524047852,{}
9031005920505509-0,9031005920505509,1647931806,1647932066,1,1647932043,1647932055,-1,5,0,A4,5,0,A4,15.6228713989258,58.4176750183106,{'at_crossing': 'E'}
9031005920505509-1,9031005920505509,1647934519,1647934712,0,1647934551,1647934688,B3,5,1,B3,5,1,B3,15.6234703063965,58.4172897338867,{}
9031005920505510-0,9031005920505510,1647929938,1647930056,0,1647929973,1647929999,B3,5,1,B3,5,1,B3,15.6234569549561,58.4172630310059,{}
9031005920505510-0,9031005920505510,1647929938,1647930056,1,1647930035,1647930047,-1,5,1,B3,5,1,B3,15.6224937438965,58.4177703857422,{}
9031005920505510-1,9031005920505510,1647932813,1647933062,0,1647932838,1647933005,A4,5,0,A4,5,0,A4,15.6239137649536,58.4171676635742,{}
9031005920505510-1,9031005920505510,1647932813,1647933062,1,1647933036,1647933041,-1,5,0,A4,5,0,A4,15.6229000091553,58.4176330566406,{}
9031005920505511-0,9031005920505511,1647929759,1647929934,0,1647929769,1647929871,A4,5,0,A4,5,0,A4,15.623987197876,58.4172058105469,{}
9031005920505511-0,9031005920505511,1647929759,1647929934,1,1647929890,1647929899,-1,5,0,A4,5,0,A4,15.6237182617188,58.4172668457031,{}
9031005920505511-1,9031005920505511,1647932613,1647932844,0,1647932640,1647932798,B3,5,1,B3,5,1,B3,15.6234683990479,58.4172515869141,{}
9031005920505513-0,9031005920505513,1647930835,1647930911,0,1647930869,1647930911,B3,5,1,B3,5,1,B3,15.6233949661255,58.4172515869141,{'at_crossing': 'B2'}
9031005920505513-1,9031005920505513,1647930962,1647931032,0,1647930983,1647931025,-1,5,1,B3,5,1,B3,15.6225233078003,58.4177703857422,{}
9031005920505513-2,9031005920505513,1647933438,1647933804,0,1647933467,1647933752,A4,5,0,A4,5,0,A4,15.6239004135132,58.4171829223633,{}
9031005920505513-2,9031005920505513,1647933438,1647933804,1,1647933775,1647933780,B1,5,0,A4,5,0,A4,15.6229543685913,58.417610168457,{}
9031005920505514-0,9031005920505514,1647932331,1647932539,0,1647932364,1647932502,A3,1,0,A3,1,0,A3,15.6236391067505,58.4173431396484,{}
9031005920505514-1,9031005920505514,1647934560,1647934728,0,1647934601,1647934728,A2,1,1,A2,1,1,A2,15.6233234405518,58.4175109863281,{}
9031005920505515-0,9031005920505515,1647931981,1647932251,0,1647932023,1647932183,B3,5,1,B3,5,1,B3,15.623438835144,58.4172439575195,{}
